,open,high,low,close,volume
2017-10-17,54.17,54.48,53.04,53.55,9657481.0
2017-10-18,53.44,55.09,53.19,54.88,9428031.0
2017-10-19,54.44,56.41,54.35,55.78,13017433.0
2017-10-20,55.24,55.37,53.75,54.45,9790764.0
2017-10-23,54.34,54.67,53.51,54.33,8969679.0
2017-10-24,54.16,55.28,53.81,55.2,10915488.0
2017-10-25,54.96,55.19,53.97,54.24,8807965.0
2017-10-26,56.08,56.9,54.96,55.24,19847371.0
2017-10-27,55.3,56.74,53.69,56.13,24544116.0
2017-10-30,55.49,56.7,54.33,56.18,16586539.0
2017-10-31,55.62,58.2,55.16,57.15,16366130.0
2017-11-01,57.26,59.13,57.2,58.44,18912899.0
2017-11-02,59.23,61.67,59.23,61.3,22845852.0
2017-11-03,61.23,62.57,60.37,60.93,15021060.0
2017-11-06,61.01,62.77,60.36,62.37,15123475.0
2017-11-07,61.95,64.84,61.77,62.52,13001020.0
2017-11-08,63.52,64.28,60.82,61.02,19644140.0
2017-11-09,61.3,63.03,59.65,62.99,18879989.0
2017-11-10,62.59,64.86,62.42,64.29,16778518.0
2017-11-13,64.3,64.66,63.29,63.44,11216977.0
2017-11-14,63.14,63.41,60.83,61.56,15890141.0
2017-11-15,61.86,63.18,61.2,63.18,16857531.0
2017-11-16,62.7,66.46,62.68,66.3,23497636.0
2017-11-17,65.05,65.64,63.17,64.78,23602013.0
2017-11-20,63.81,64.76,60.83,64.29,14228592.0
2017-11-21,63.17,66.13,61.94,65.87,17662667.0
2017-11-22,65.5,66.36,62.38,63.52,15380113.0
2017-11-23,62.47,62.52,59.56,59.62,19387956.0
2017-11-24,59.44,60.23,57.26,60.23,18058226.0
2017-11-27,59.04,60.32,57.38,59.06,14582447.0
2017-11-28,58.06,60.34,58.06,59.13,11635229.0
2017-11-29,59.37,59.42,56.37,57.13,15402589.0
2017-11-30,56.94,57.9,54.91,55.64,13270341.0
2017-12-01,55.92,56.72,55.36,56.33,10111759.0
2017-12-04,56.5,59.23,55.86,58.53,12622028.0
2017-12-05,58.49,60.5,58.02,58.77,14692913.0
2017-12-06,58.67,59.61,56.51,57.31,13621593.0
2017-12-07,57.33,57.42,55.1,55.59,12505300.0
2017-12-08,55.22,57.25,55.19,56.98,11688979.0
2017-12-11,57.52,59.89,57.26,59.72,17808773.0
2017-12-12,60.08,60.54,58.9,59.05,7844503.0
2017-12-13,58.92,61.79,58.74,61.71,12216716.0
2017-12-14,61.7,62.67,60.54,61.74,9149495.0
2017-12-15,61.65,62.89,60.76,61.01,8485282.0
2017-12-18,61.66,63.83,61.66,62.67,12239806.0
2017-12-19,62.8,64.06,62.13,62.88,10289270.0
2017-12-20,62.74,64.77,61.8,64.02,13851445.0
2017-12-21,63.83,64.75,63.3,64.07,10313278.0
2017-12-22,64.11,64.29,61.89,62.07,14618949.0
2017-12-25,62.55,63.55,61.39,62.31,11702225.0
2017-12-26,62.5,62.7,60.78,61.33,8681155.0
